--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:04:28 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_5>,3.567µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_5>,Gaussian-50%Low[0.25 mm],2.5005 mm,269.50 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7485,0.0390,0.4415,-0.1663,0
1,2,2.7525,0.0169,0.4390,-0.1691,0
1,3,2.7565,0.0117,0.4360,-0.1725,0
1,4,2.7605,0.0182,0.4325,-0.1762,0
1,5,2.7645,0.0468,0.4287,-0.1804,0
1,6,2.7685,0.1001,0.4244,-0.1850,0
1,7,2.7725,0.1612,0.4198,-0.1900,0
1,8,2.7765,0.2301,0.4146,-0.1954,0
1,9,2.7805,0.3276,0.4090,-0.2014,0
1,10,2.7845,0.4511,0.4028,-0.2079,0
1,11,2.7885,0.5694,0.3960,-0.2150,0
1,12,2.7925,0.6994,0.3886,-0.2228,0
1,13,2.7965,0.8996,0.3804,-0.2313,0
1,14,2.8005,1.1362,0.3716,-0.2404,0
1,15,2.8045,1.2584,0.3620,-0.2503,0
1,16,2.8085,1.1544,0.3518,-0.2609,0
1,17,2.8125,0.9035,0.3410,-0.2720,0
1,18,2.8165,0.6695,0.3297,-0.2836,0
1,19,2.8205,0.5109,0.3180,-0.2957,0
1,20,2.8245,0.3718,0.3060,-0.3079,0
1,21,2.8285,0.2145,0.2940,-0.3203,0
1,22,2.8325,0.0702,0.2820,-0.3326,0
1,23,2.8365,-0.0351,0.2703,-0.3446,0
1,24,2.8405,-0.1183,0.2589,-0.3563,0
1,25,2.8445,-0.1924,0.2480,-0.3675,0
1,26,2.8485,-0.2431,0.2378,-0.3781,0
1,27,2.8525,-0.2613,0.2282,-0.3880,0
1,28,2.8565,-0.2600,0.2194,-0.3971,0
1,29,2.8605,-0.2548,0.2114,-0.4055,0
1,30,2.8645,-0.2366,0.2041,-0.4131,0
1,31,2.8685,-0.1937,0.1975,-0.4200,0
1,32,2.8725,-0.1326,0.1916,-0.4263,0
1,33,2.8765,-0.0663,0.1861,-0.4320,0
1,34,2.8805,0.0117,0.1811,-0.4374,0
1,35,2.8845,0.1170,0.1762,-0.4426,0
1,36,2.8885,0.2366,0.1715,-0.4476,0
1,37,2.8925,0.3757,0.1668,-0.4527,0
1,38,2.8965,0.5694,0.1619,-0.4579,0
1,39,2.9005,0.8177,0.1567,-0.4634,0
1,40,2.9045,1.0062,0.1512,-0.4692,0
1,41,2.9085,1.0010,0.1453,-0.4754,0
1,42,2.9125,0.8086,0.1390,-0.4821,0
1,43,2.9165,0.5720,0.1323,-0.4891,0
1,44,2.9205,0.3926,0.1252,-0.4965,0
1,45,2.9245,0.2535,0.1179,-0.5042,0
1,46,2.9285,0.1027,0.1103,-0.5121,0
1,47,2.9325,-0.0507,0.1026,-0.5201,0
1,48,2.9365,-0.1729,0.0949,-0.5281,0
1,49,2.9405,-0.2587,0.0873,-0.5360,0
1,50,2.9445,-0.3237,0.0798,-0.5438,0
1,51,2.9485,-0.3757,0.0727,-0.5513,0
1,52,2.9525,-0.4043,0.0658,-0.5585,0
1,53,2.9565,-0.4095,0.0593,-0.5653,0
1,54,2.9605,-0.3991,0.0532,-0.5717,0
1,55,2.9645,-0.3744,0.0474,-0.5779,0
1,56,2.9685,-0.3289,0.0419,-0.5837,0
1,57,2.9725,-0.2704,0.0366,-0.5894,0
1,58,2.9765,-0.2002,0.0314,-0.5949,0
1,59,2.9805,-0.1092,0.0262,-0.6004,0
1,60,2.9845,0.0039,0.0209,-0.6060,0
1,61,2.9885,0.1274,0.0154,-0.6119,0
1,62,2.9925,0.2626,0.0095,-0.6180,0
1,63,2.9965,0.4498,0.0033,-0.6245,0
1,64,3.0005,0.6955,-0.0033,-0.6315,0
1,65,3.0045,0.8892,-0.0104,-0.6389,0
1,66,3.0085,0.8957,-0.0180,-0.6468,0
1,67,3.0125,0.7007,-0.0260,-0.6551,0
1,68,3.0165,0.4342,-0.0343,-0.6638,0
1,69,3.0205,0.2171,-0.0428,-0.6726,0
1,70,3.0245,0.0494,-0.0514,-0.6816,0
1,71,3.0285,-0.1105,-0.0600,-0.6904,0
1,72,3.0325,-0.2678,-0.0683,-0.6991,0
1,73,3.0365,-0.3913,-0.0762,-0.7073,0
1,74,3.0405,-0.4797,-0.0835,-0.7149,0
1,75,3.0445,-0.5499,-0.0901,-0.7218,0
1,76,3.0485,-0.6084,-0.0958,-0.7279,0
1,77,3.0525,-0.6461,-0.1006,-0.7330,0
1,78,3.0565,-0.6604,-0.1043,-0.7370,0
1,79,3.0605,-0.6591,-0.1069,-0.7400,0
1,80,3.0645,-0.6370,-0.1085,-0.7419,0
1,81,3.0685,-0.5863,-0.1091,-0.7427,0
