--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:04:06 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_4>,2.071µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_4>,Gaussian-50%Low[0.25 mm],2.5005 mm,89.87 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7485,-1.8096,-1.5442,0.1974,0
1,2,2.7525,-1.9344,-1.5461,0.1956,0
1,3,2.7565,-2.0410,-1.5475,0.1944,0
1,4,2.7605,-2.1710,-1.5481,0.1939,0
1,5,2.7645,-2.3075,-1.5480,0.1941,0
1,6,2.7685,-2.3491,-1.5471,0.1952,0
1,7,2.7725,-2.2204,-1.5454,0.1970,0
1,8,2.7765,-1.9812,-1.5430,0.1995,0
1,9,2.7805,-1.7550,-1.5399,0.2027,0
1,10,2.7845,-1.5964,-1.5363,0.2065,0
1,11,2.7885,-1.4729,-1.5322,0.2108,0
1,12,2.7925,-1.3533,-1.5277,0.2154,0
1,13,2.7965,-1.2415,-1.5230,0.2202,0
1,14,2.8005,-1.1505,-1.5183,0.2251,0
1,15,2.8045,-1.0894,-1.5135,0.2300,0
1,16,2.8085,-1.0699,-1.5088,0.2348,0
1,17,2.8125,-1.0894,-1.5043,0.2394,0
1,18,2.8165,-1.1154,-1.5000,0.2439,0
1,19,2.8205,-1.1180,-1.4959,0.2482,0
1,20,2.8245,-1.1089,-1.4919,0.2522,0
1,21,2.8285,-1.1271,-1.4881,0.2562,0
1,22,2.8325,-1.1843,-1.4843,0.2601,0
1,23,2.8365,-1.2675,-1.4804,0.2642,0
1,24,2.8405,-1.3728,-1.4763,0.2683,0
1,25,2.8445,-1.5041,-1.4720,0.2728,0
1,26,2.8485,-1.6523,-1.4672,0.2778,0
1,27,2.8525,-1.7875,-1.4618,0.2833,0
1,28,2.8565,-1.9110,-1.4558,0.2894,0
1,29,2.8605,-2.0514,-1.4491,0.2963,0
1,30,2.8645,-2.1918,-1.4416,0.3039,0
1,31,2.8685,-2.2516,-1.4333,0.3123,0
1,32,2.8725,-2.1619,-1.4242,0.3215,0
1,33,2.8765,-1.9565,-1.4144,0.3315,0
1,34,2.8805,-1.7316,-1.4040,0.3421,0
1,35,2.8845,-1.5405,-1.3930,0.3532,0
1,36,2.8885,-1.3754,-1.3815,0.3648,0
1,37,2.8925,-1.2246,-1.3698,0.3766,0
1,38,2.8965,-1.0881,-1.3579,0.3886,0
1,39,2.9005,-0.9672,-1.3461,0.4006,0
1,40,2.9045,-0.8736,-1.3343,0.4125,0
1,41,2.9085,-0.8242,-1.3229,0.4241,0
1,42,2.9125,-0.8268,-1.3118,0.4353,0
1,43,2.9165,-0.8580,-1.3011,0.4461,0
1,44,2.9205,-0.8801,-1.2909,0.4565,0
1,45,2.9245,-0.8853,-1.2812,0.4663,0
1,46,2.9285,-0.8931,-1.2720,0.4757,0
1,47,2.9325,-0.9295,-1.2632,0.4846,0
1,48,2.9365,-1.0075,-1.2548,0.4931,0
1,49,2.9405,-1.1193,-1.2467,0.5014,0
1,50,2.9445,-1.2454,-1.2388,0.5094,0
1,51,2.9485,-1.3689,-1.2310,0.5173,0
1,52,2.9525,-1.4911,-1.2232,0.5252,0
1,53,2.9565,-1.6328,-1.2154,0.5332,0
1,54,2.9605,-1.7979,-1.2075,0.5413,0
1,55,2.9645,-1.9305,-1.1994,0.5495,0
1,56,2.9685,-1.9396,-1.1911,0.5579,0
1,57,2.9725,-1.8018,-1.1827,0.5664,0
1,58,2.9765,-1.5847,-1.1741,0.5751,0
1,59,2.9805,-1.3767,-1.1655,0.5839,0
1,60,2.9845,-1.2077,-1.1569,0.5926,0
1,61,2.9885,-1.0621,-1.1484,0.6013,0
1,62,2.9925,-0.9282,-1.1401,0.6097,0
1,63,2.9965,-0.8073,-1.1320,0.6179,0
1,64,3.0005,-0.7072,-1.1244,0.6257,0
1,65,3.0045,-0.6409,-1.1172,0.6330,0
1,66,3.0085,-0.6240,-1.1105,0.6398,0
1,67,3.0125,-0.6500,-1.1044,0.6461,0
1,68,3.0165,-0.6877,-1.0989,0.6517,0
1,69,3.0205,-0.7046,-1.0940,0.6568,0
1,70,3.0245,-0.7033,-1.0896,0.6613,0
