--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:05:06 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_7>,1.079µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_7>,Gaussian-50%Low[0.25 mm],2.5005 mm,359.50 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7485,1.1297,1.3827,0.0559,0
1,2,2.7525,1.1960,1.3752,0.0478,0
1,3,2.7565,1.2844,1.3682,0.0402,0
1,4,2.7605,1.3962,1.3614,0.0329,0
1,5,2.7645,1.5171,1.3549,0.0258,0
1,6,2.7685,1.6627,1.3486,0.0189,0
1,7,2.7725,1.8681,1.3425,0.0122,0
1,8,2.7765,2.0813,1.3364,0.0056,0
1,9,2.7805,2.1645,1.3305,-0.0009,0
1,10,2.7845,2.0410,1.3248,-0.0072,0
1,11,2.7885,1.7992,1.3192,-0.0133,0
1,12,2.7925,1.5782,1.3141,-0.0191,0
1,13,2.7965,1.4157,1.3093,-0.0244,0
1,14,2.8005,1.2688,1.3052,-0.0291,0
1,15,2.8045,1.1154,1.3018,-0.0331,0
1,16,2.8085,0.9828,1.2993,-0.0361,0
1,17,2.8125,0.8866,1.2979,-0.0381,0
1,18,2.8165,0.8177,1.2976,-0.0389,0
1,19,2.8205,0.7735,1.2987,-0.0384,0
1,20,2.8245,0.7527,1.3012,-0.0365,0
1,21,2.8285,0.7501,1.3052,-0.0331,0
1,22,2.8325,0.7631,1.3106,-0.0282,0
1,23,2.8365,0.7930,1.3175,-0.0219,0
1,24,2.8405,0.8463,1.3257,-0.0143,0
1,25,2.8445,0.9165,1.3352,-0.0053,0
1,26,2.8485,0.9919,1.3459,0.0048,0
1,27,2.8525,1.0738,1.3575,0.0158,0
1,28,2.8565,1.1778,1.3699,0.0276,0
1,29,2.8605,1.3052,1.3828,0.0400,0
1,30,2.8645,1.4417,1.3960,0.0526,0
1,31,2.8685,1.5873,1.4094,0.0654,0
1,32,2.8725,1.7836,1.4227,0.0781,0
1,33,2.8765,2.0514,1.4357,0.0906,0
1,34,2.8805,2.3075,1.4483,0.1026,0
1,35,2.8845,2.4011,1.4603,0.1141,0
1,36,2.8885,2.2776,1.4718,0.1249,0
1,37,2.8925,2.0423,1.4825,0.1351,0
1,38,2.8965,1.8317,1.4926,0.1446,0
1,39,2.9005,1.6796,1.5019,0.1534,0
1,40,2.9045,1.5431,1.5106,0.1615,0
1,41,2.9085,1.4079,1.5187,0.1690,0
1,42,2.9125,1.2974,1.5263,0.1760,0
1,43,2.9165,1.2233,1.5333,0.1825,0
1,44,2.9205,1.1713,1.5400,0.1886,0
1,45,2.9245,1.1349,1.5463,0.1943,0
1,46,2.9285,1.1206,1.5522,0.1997,0
1,47,2.9325,1.1232,1.5578,0.2047,0
1,48,2.9365,1.1453,1.5631,0.2094,0
1,49,2.9405,1.1947,1.5681,0.2138,0
1,50,2.9445,1.2649,1.5726,0.2177,0
1,51,2.9485,1.3338,1.5765,0.2211,0
1,52,2.9525,1.3975,1.5799,0.2239,0
1,53,2.9565,1.4911,1.5825,0.2260,0
1,54,2.9605,1.6276,1.5843,0.2272,0
1,55,2.9645,1.7758,1.5852,0.2275,0
1,56,2.9685,1.9188,1.5850,0.2267,0
1,57,2.9725,2.1008,1.5836,0.2248,0
1,58,2.9765,2.3387,1.5811,0.2217,0
1,59,2.9805,2.5311,1.5774,0.2175,0
1,60,2.9845,2.5311,1.5726,0.2120,0
1,61,2.9885,2.3309,1.5665,0.2054,0
1,62,2.9925,2.0631,1.5594,0.1978,0
1,63,2.9965,1.8447,1.5514,0.1892,0
1,64,3.0005,1.6783,1.5426,0.1798,0
1,65,3.0045,1.5223,1.5331,0.1697,0
1,66,3.0085,1.3702,1.5232,0.1592,0
1,67,3.0125,1.2389,1.5130,0.1485,0
1,68,3.0165,1.1349,1.5027,0.1376,0
1,69,3.0205,1.0543,1.4925,0.1268,0
1,70,3.0245,1.0036,1.4825,0.1162,0
1,71,3.0285,0.9763,1.4729,0.1060,0
1,72,3.0325,0.9607,1.4637,0.0963,0
1,73,3.0365,0.9581,1.4550,0.0870,0
1,74,3.0405,0.9867,1.4468,0.0783,0
1,75,3.0445,1.0439,1.4392,0.0701,0
1,76,3.0485,1.1050,1.4321,0.0624,0
1,77,3.0525,1.1570,1.4254,0.0551,0
1,78,3.0565,1.2285,1.4191,0.0482,0
1,79,3.0605,1.3481,1.4130,0.0416,0
1,80,3.0645,1.4898,1.4070,0.0351,0
1,81,3.0685,1.6250,1.4012,0.0286,0
1,82,3.0725,1.7797,1.3952,0.0221,0
1,83,3.0765,1.9955,1.3892,0.0156,0
1,84,3.0805,2.2074,1.3831,0.0088,0
1,85,3.0845,2.2646,1.3768,0.0020,0
1,86,3.0885,2.1021,1.3704,-0.0050,0
1,87,3.0925,1.8304,1.3639,-0.0121,0
1,88,3.0965,1.5977,1.3574,-0.0191,0
1,89,3.1005,1.4417,1.3511,-0.0261,0
1,90,3.1045,1.3078,1.3449,-0.0328,0
1,91,3.1085,1.1674,1.3391,-0.0391,0
1,92,3.1125,1.0348,1.3338,-0.0450,0
1,93,3.1165,0.9321,1.3292,-0.0502,0
1,94,3.1205,0.8606,1.3253,-0.0546,0
1,95,3.1245,0.8151,1.3224,-0.0582,0
1,96,3.1285,0.7904,1.3203,-0.0608,0
1,97,3.1325,0.7800,1.3193,-0.0624,0
1,98,3.1365,0.7852,1.3192,-0.0630,0
1,99,3.1405,0.8190,1.3202,-0.0627,0
1,100,3.1445,0.8814,1.3220,-0.0614,0
1,101,3.1485,0.9503,1.3247,-0.0593,0
1,102,3.1525,1.0179,1.3281,-0.0565,0
1,103,3.1565,1.1011,1.3320,-0.0531,0
1,104,3.1605,1.2233,1.3363,-0.0494,0
1,105,3.1645,1.3754,1.3408,-0.0455,0
1,106,3.1685,1.5301,1.3453,-0.0415,0
1,107,3.1725,1.7082,1.3497,-0.0377,0
1,108,3.1765,1.9435,1.3538,-0.0342,0
1,109,3.1805,2.1827,1.3575,-0.0310,0
1,110,3.1845,2.2828,1.3607,-0.0284,0
1,111,3.1885,2.1671,1.3633,-0.0264,0
1,112,3.1925,1.9292,1.3653,-0.0250,0
1,113,3.1965,1.7160,1.3666,-0.0242,0
1,114,3.2005,1.5665,1.3673,-0.0241,0
1,115,3.2045,1.4235,1.3675,-0.0245,0
1,116,3.2085,1.2688,1.3671,-0.0254,0
1,117,3.2125,1.1388,1.3663,-0.0268,0
1,118,3.2165,1.0530,1.3651,-0.0286,0
1,119,3.2205,0.9919,1.3636,-0.0306,0
1,120,3.2245,0.9425,1.3619,-0.0330,0
1,121,3.2285,0.9152,1.3599,-0.0355,0
1,122,3.2325,0.9113,1.3578,-0.0382,0
1,123,3.2365,0.9243,1.3555,-0.0410,0
1,124,3.2405,0.9620,1.3530,-0.0441,0
1,125,3.2445,1.0218,1.3503,-0.0474,0
1,126,3.2485,1.0868,1.3473,-0.0510,0
1,127,3.2525,1.1518,1.3439,-0.0550,0
1,128,3.2565,1.2454,1.3400,-0.0594,0
1,129,3.2605,1.3780,1.3355,-0.0644,0
1,130,3.2645,1.5145,1.3305,-0.0701,0
1,131,3.2685,1.6549,1.3246,-0.0765,0
1,132,3.2725,1.8499,1.3180,-0.0836,0
1,133,3.2765,2.0891,1.3106,-0.0916,0
1,134,3.2805,2.2360,1.3024,-0.1004,0
1,135,3.2845,2.1632,1.2934,-0.1100,0
1,136,3.2885,1.9227,1.2836,-0.1204,0
1,137,3.2925,1.6718,1.2732,-0.1314,0
1,138,3.2965,1.4898,1.2622,-0.1429,0
1,139,3.3005,1.3416,1.2508,-0.1549,0
1,140,3.3045,1.1895,1.2392,-0.1671,0
1,141,3.3085,1.0426,1.2274,-0.1794,0
1,142,3.3125,0.9165,1.2158,-0.1916,0
1,143,3.3165,0.8086,1.2044,-0.2036,0
1,144,3.3205,0.7267,1.1933,-0.2152,0
