--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:04:50 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_6>,1.173µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_6>,Gaussian-50%Low[0.25 mm],2.5005 mm,179.80 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7485,-1.5145,-0.9423,0.0560,0
1,2,2.7525,-1.3013,-0.9431,0.0556,0
1,3,2.7565,-1.1167,-0.9440,0.0551,0
1,4,2.7605,-0.9672,-0.9451,0.0543,0
1,5,2.7645,-0.8294,-0.9465,0.0532,0
1,6,2.7685,-0.6994,-0.9485,0.0516,0
1,7,2.7725,-0.5928,-0.9510,0.0494,0
1,8,2.7765,-0.5187,-0.9541,0.0466,0
1,9,2.7805,-0.4823,-0.9581,0.0430,0
1,10,2.7845,-0.4810,-0.9629,0.0386,0
1,11,2.7885,-0.4979,-0.9686,0.0332,0
1,12,2.7925,-0.5109,-0.9752,0.0270,0
1,13,2.7965,-0.5200,-0.9827,0.0198,0
1,14,2.8005,-0.5421,-0.9909,0.0119,0
1,15,2.8045,-0.5980,-1.0000,0.0032,0
1,16,2.8085,-0.6890,-1.0096,-0.0061,0
1,17,2.8125,-0.7982,-1.0197,-0.0159,0
1,18,2.8165,-0.9152,-1.0302,-0.0260,0
1,19,2.8205,-1.0543,-1.0408,-0.0362,0
1,20,2.8245,-1.2116,-1.0513,-0.0464,0
1,21,2.8285,-1.3585,-1.0617,-0.0564,0
1,22,2.8325,-1.4846,-1.0718,-0.0662,0
1,23,2.8365,-1.6289,-1.0813,-0.0754,0
1,24,2.8405,-1.7992,-1.0904,-0.0841,0
1,25,2.8445,-1.9071,-1.0988,-0.0922,0
1,26,2.8485,-1.8551,-1.1066,-0.0996,0
1,27,2.8525,-1.6627,-1.1136,-0.1063,0
1,28,2.8565,-1.4482,-1.1201,-0.1124,0
1,29,2.8605,-1.2818,-1.1259,-0.1179,0
1,30,2.8645,-1.1492,-1.1312,-0.1229,0
1,31,2.8685,-1.0153,-1.1361,-0.1274,0
1,32,2.8725,-0.8853,-1.1407,-0.1316,0
1,33,2.8765,-0.7865,-1.1450,-0.1356,0
1,34,2.8805,-0.7345,-1.1491,-0.1393,0
1,35,2.8845,-0.7254,-1.1531,-0.1430,0
1,36,2.8885,-0.7397,-1.1571,-0.1466,0
1,37,2.8925,-0.7527,-1.1610,-0.1502,0
1,38,2.8965,-0.7579,-1.1649,-0.1538,0
1,39,2.9005,-0.7748,-1.1687,-0.1572,0
1,40,2.9045,-0.8229,-1.1724,-0.1606,0
1,41,2.9085,-0.8983,-1.1759,-0.1637,0
1,42,2.9125,-0.9854,-1.1791,-0.1665,0
1,43,2.9165,-1.0868,-1.1818,-0.1689,0
1,44,2.9205,-1.2207,-1.1839,-0.1707,0
1,45,2.9245,-1.3806,-1.1854,-0.1718,0
1,46,2.9285,-1.5340,-1.1860,-0.1721,0
1,47,2.9325,-1.6705,-1.1858,-0.1715,0
1,48,2.9365,-1.8174,-1.1845,-0.1699,0
1,49,2.9405,-1.9682,-1.1822,-0.1673,0
1,50,2.9445,-2.0371,-1.1788,-0.1635,0
1,51,2.9485,-1.9461,-1.1744,-0.1588,0
1,52,2.9525,-1.7277,-1.1691,-0.1531,0
1,53,2.9565,-1.4924,-1.1627,-0.1464,0
1,54,2.9605,-1.3052,-1.1556,-0.1389,0
1,55,2.9645,-1.1518,-1.1478,-0.1308,0
1,56,2.9685,-1.0075,-1.1394,-0.1221,0
1,57,2.9725,-0.8788,-1.1307,-0.1130,0
1,58,2.9765,-0.7761,-1.1217,-0.1036,0
1,59,2.9805,-0.6981,-1.1126,-0.0942,0
1,60,2.9845,-0.6526,-1.1035,-0.0848,0
1,61,2.9885,-0.6461,-1.0946,-0.0755,0
1,62,2.9925,-0.6617,-1.0859,-0.0665,0
1,63,2.9965,-0.6747,-1.0775,-0.0577,0
1,64,3.0005,-0.6773,-1.0695,-0.0493,0
1,65,3.0045,-0.6890,-1.0617,-0.0412,0
1,66,3.0085,-0.7228,-1.0543,-0.0334,0
1,67,3.0125,-0.7865,-1.0471,-0.0259,0
1,68,3.0165,-0.8853,-1.0401,-0.0186,0
1,69,3.0205,-1.0192,-1.0333,-0.0114,0
1,70,3.0245,-1.1648,-1.0265,-0.0043,0
1,71,3.0285,-1.3000,-1.0198,0.0028,0
1,72,3.0325,-1.4430,-1.0130,0.0099,0
1,73,3.0365,-1.6094,-1.0062,0.0171,0
1,74,3.0405,-1.7472,-0.9993,0.0243,0
1,75,3.0445,-1.7563,-0.9924,0.0315,0
1,76,3.0485,-1.6081,-0.9855,0.0388,0
1,77,3.0525,-1.3832,-0.9788,0.0459,0
1,78,3.0565,-1.1778,-0.9722,0.0528,0
1,79,3.0605,-1.0101,-0.9659,0.0594,0
1,80,3.0645,-0.8541,-0.9601,0.0656,0
1,81,3.0685,-0.7098,-0.9549,0.0712,0
1,82,3.0725,-0.5954,-0.9504,0.0760,0
1,83,3.0765,-0.5083,-0.9467,0.0800,0
1,84,3.0805,-0.4446,-0.9441,0.0830,0
1,85,3.0845,-0.4134,-0.9425,0.0849,0
1,86,3.0885,-0.4225,-0.9421,0.0857,0
1,87,3.0925,-0.4511,-0.9428,0.0853,0
1,88,3.0965,-0.4745,-0.9447,0.0838,0
1,89,3.1005,-0.4875,-0.9476,0.0812,0
1,90,3.1045,-0.5109,-0.9516,0.0775,0
1,91,3.1085,-0.5720,-0.9565,0.0730,0
1,92,3.1125,-0.6695,-0.9621,0.0678,0
1,93,3.1165,-0.7878,-0.9683,0.0619,0
1,94,3.1205,-0.9165,-0.9748,0.0557,0
1,95,3.1245,-1.0660,-0.9816,0.0493,0
1,96,3.1285,-1.2272,-0.9884,0.0428,0
1,97,3.1325,-1.3702,-0.9950,0.0366,0
1,98,3.1365,-1.5028,-1.0013,0.0306,0
1,99,3.1405,-1.6588,-1.0071,0.0252,0
1,100,3.1445,-1.8070,-1.0123,0.0203,0
1,101,3.1485,-1.8369,-1.0169,0.0160,0
1,102,3.1525,-1.6913,-1.0209,0.0125,0
1,103,3.1565,-1.4495,-1.0241,0.0096,0
1,104,3.1605,-1.2350,-1.0266,0.0074,0
1,105,3.1645,-1.0829,-1.0285,0.0058,0
1,106,3.1685,-0.9555,-1.0299,0.0048,0
1,107,3.1725,-0.8307,-1.0308,0.0043,0
1,108,3.1765,-0.7215,-1.0312,0.0042,0
1,109,3.1805,-0.6448,-1.0313,0.0044,0
1,110,3.1845,-0.6110,-1.0312,0.0049,0
1,111,3.1885,-0.6162,-1.0309,0.0055,0
1,112,3.1925,-0.6370,-1.0304,0.0064,0
1,113,3.1965,-0.6474,-1.0298,0.0073,0
1,114,3.2005,-0.6500,-1.0290,0.0085,0
1,115,3.2045,-0.6695,-1.0280,0.0098,0
1,116,3.2085,-0.7202,-1.0268,0.0113,0
1,117,3.2125,-0.8034,-1.0253,0.0132,0
1,118,3.2165,-0.9191,-1.0235,0.0154,0
1,119,3.2205,-1.0621,-1.0211,0.0181,0
1,120,3.2245,-1.2116,-1.0182,0.0214,0
1,121,3.2285,-1.3494,-1.0146,0.0253,0
1,122,3.2325,-1.4846,-1.0104,0.0299,0
1,123,3.2365,-1.6302,-1.0054,0.0352,0
1,124,3.2405,-1.7602,-0.9996,0.0413,0
1,125,3.2445,-1.8044,-0.9932,0.0481,0
1,126,3.2485,-1.7069,-0.9860,0.0557,0
1,127,3.2525,-1.4911,-0.9781,0.0638,0
1,128,3.2565,-1.2467,-0.9698,0.0726,0
1,129,3.2605,-1.0439,-0.9610,0.0817,0
1,130,3.2645,-0.8931,-0.9519,0.0911,0
1,131,3.2685,-0.7644,-0.9426,0.1007,0
1,132,3.2725,-0.6422,-0.9334,0.1103,0
1,133,3.2765,-0.5343,-0.9243,0.1198,0
1,134,3.2805,-0.4602,-0.9154,0.1289,0
1,135,3.2845,-0.4251,-0.9070,0.1377,0
1,136,3.2885,-0.4251,-0.8990,0.1461,0
1,137,3.2925,-0.4446,-0.8916,0.1539,0
1,138,3.2965,-0.4667,-0.8847,0.1611,0
1,139,3.3005,-0.4758,-0.8784,0.1678,0
1,140,3.3045,-0.4849,-0.8726,0.1739,0
1,141,3.3085,-0.5226,-0.8672,0.1796,0
1,142,3.3125,-0.6019,-0.8623,0.1849,0
1,143,3.3165,-0.7163,-0.8576,0.1899,0
1,144,3.3205,-0.8502,-0.8532,0.1947,0
1,145,3.3245,-0.9945,-0.8488,0.1994,0
1,146,3.3285,-1.1362,-0.8444,0.2042,0
1,147,3.3325,-1.2727,-0.8399,0.2090,0
1,148,3.3365,-1.4209,-0.8352,0.2140,0
1,149,3.3405,-1.5613,-0.8303,0.2193,0
1,150,3.3445,-1.6146,-0.8252,0.2247,0
1,151,3.3485,-1.5093,-0.8199,0.2304,0
1,152,3.3525,-1.2831,-0.8144,0.2362,0
1,153,3.3565,-1.0491,-0.8088,0.2421,0
1,154,3.3605,-0.8710,-0.8033,0.2481,0
1,155,3.3645,-0.7280,-0.7978,0.2539,0
1,156,3.3685,-0.5876,-0.7925,0.2595,0
1,157,3.3725,-0.4563,-0.7876,0.2648,0
1,158,3.3765,-0.3549,-0.7831,0.2696,0
1,159,3.3805,-0.2938,-0.7792,0.2738,0
1,160,3.3845,-0.2743,-0.7759,0.2775,0
1,161,3.3885,-0.2912,-0.7734,0.2804,0
1,162,3.3925,-0.3224,-0.7715,0.2826,0
1,163,3.3965,-0.3406,-0.7704,0.2841,0
1,164,3.4005,-0.3458,-0.7699,0.2848,0
1,165,3.4045,-0.3679,-0.7701,0.2850,0
1,166,3.4085,-0.4251,-0.7708,0.2847,0
1,167,3.4125,-0.5135,-0.7719,0.2839,0
