--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:05:22 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_8>,1.800µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_8>,Gaussian-50%Low[0.25 mm],2.4995 mm,269.55 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7475,0.2288,-0.0197,0.3113,0
1,2,2.7515,0.3107,-0.0254,0.3058,0
1,3,2.7555,0.3471,-0.0308,0.3006,0
1,4,2.7595,0.3471,-0.0358,0.2957,0
1,5,2.7635,0.3302,-0.0405,0.2911,0
1,6,2.7675,0.3107,-0.0450,0.2869,0
1,7,2.7715,0.3003,-0.0492,0.2829,0
1,8,2.7755,0.2886,-0.0530,0.2792,0
1,9,2.7795,0.2626,-0.0564,0.2759,0
1,10,2.7835,0.2119,-0.0594,0.2730,0
1,11,2.7875,0.1287,-0.0619,0.2707,0
1,12,2.7915,0.0065,-0.0637,0.2691,0
1,13,2.7955,-0.1560,-0.0648,0.2682,0
1,14,2.7995,-0.3289,-0.0651,0.2681,0
1,15,2.8035,-0.4784,-0.0644,0.2689,0
1,16,2.8075,-0.6123,-0.0628,0.2707,0
1,17,2.8115,-0.7592,-0.0601,0.2735,0
1,18,2.8155,-0.8801,-0.0565,0.2773,0
1,19,2.8195,-0.8814,-0.0518,0.2821,0
1,20,2.8235,-0.7228,-0.0463,0.2878,0
1,21,2.8275,-0.4810,-0.0399,0.2944,0
1,22,2.8315,-0.2613,-0.0328,0.3017,0
1,23,2.8355,-0.0962,-0.0251,0.3095,0
1,24,2.8395,0.0429,-0.0170,0.3178,0
1,25,2.8435,0.1807,-0.0087,0.3263,0
1,26,2.8475,0.3068,-0.0003,0.3348,0
1,27,2.8515,0.4056,0.0080,0.3432,0
1,28,2.8555,0.4706,0.0160,0.3514,0
1,29,2.8595,0.5005,0.0236,0.3592,0
1,30,2.8635,0.4927,0.0307,0.3664,0
1,31,2.8675,0.4680,0.0371,0.3730,0
1,32,2.8715,0.4485,0.0430,0.3790,0
1,33,2.8755,0.4433,0.0481,0.3843,0
1,34,2.8795,0.4355,0.0526,0.3890,0
1,35,2.8835,0.4017,0.0564,0.3930,0
1,36,2.8875,0.3341,0.0597,0.3965,0
1,37,2.8915,0.2366,0.0626,0.3995,0
1,38,2.8955,0.1092,0.0650,0.4021,0
1,39,2.8995,-0.0377,0.0672,0.4044,0
1,40,2.9035,-0.1859,0.0692,0.4065,0
1,41,2.9075,-0.3263,0.0711,0.4086,0
1,42,2.9115,-0.4771,0.0729,0.4106,0
1,43,2.9155,-0.6240,0.0747,0.4125,0
1,44,2.9195,-0.6877,0.0765,0.4145,0
1,45,2.9235,-0.5954,0.0782,0.4164,0
1,46,2.9275,-0.3796,0.0799,0.4183,0
1,47,2.9315,-0.1469,0.0815,0.4200,0
1,48,2.9355,0.0312,0.0829,0.4215,0
1,49,2.9395,0.1690,0.0839,0.4227,0
1,50,2.9435,0.2951,0.0844,0.4234,0
1,51,2.9475,0.4160,0.0843,0.4235,0
1,52,2.9515,0.5096,0.0836,0.4229,0
1,53,2.9555,0.5564,0.0820,0.4215,0
1,54,2.9595,0.5590,0.0796,0.4192,0
1,55,2.9635,0.5408,0.0762,0.4160,0
1,56,2.9675,0.5278,0.0718,0.4118,0
1,57,2.9715,0.5252,0.0665,0.4066,0
1,58,2.9755,0.5148,0.0603,0.4006,0
1,59,2.9795,0.4797,0.0532,0.3937,0
1,60,2.9835,0.4134,0.0454,0.3860,0
1,61,2.9875,0.3250,0.0370,0.3778,0
1,62,2.9915,0.2145,0.0282,0.3691,0
1,63,2.9955,0.0754,0.0191,0.3602,0
1,64,2.9995,-0.0884,0.0099,0.3512,0
1,65,3.0035,-0.2496,0.0008,0.3422,0
1,66,3.0075,-0.3809,-0.0081,0.3335,0
1,67,3.0115,-0.5096,-0.0166,0.3252,0
1,68,3.0155,-0.6747,-0.0245,0.3174,0
1,69,3.0195,-0.8242,-0.0319,0.3102,0
1,70,3.0235,-0.8424,-0.0386,0.3037,0
1,71,3.0275,-0.6838,-0.0446,0.2978,0
1,72,3.0315,-0.4433,-0.0498,0.2927,0
1,73,3.0355,-0.2405,-0.0545,0.2883,0
1,74,3.0395,-0.1014,-0.0585,0.2844,0
1,75,3.0435,0.0182,-0.0619,0.2811,0
1,76,3.0475,0.1404,-0.0649,0.2783,0
1,77,3.0515,0.2418,-0.0675,0.2759,0
1,78,3.0555,0.3042,-0.0698,0.2737,0
1,79,3.0595,0.3250,-0.0719,0.2718,0
1,80,3.0635,0.3159,-0.0739,0.2700,0
1,81,3.0675,0.2977,-0.0757,0.2683,0
1,82,3.0715,0.2847,-0.0775,0.2666,0
1,83,3.0755,0.2782,-0.0793,0.2650,0
1,84,3.0795,0.2613,-0.0810,0.2635,0
1,85,3.0835,0.2171,-0.0826,0.2621,0
1,86,3.0875,0.1378,-0.0840,0.2608,0
1,87,3.0915,0.0247,-0.0853,0.2597,0
1,88,3.0955,-0.1105,-0.0863,0.2589,0
1,89,3.0995,-0.2535,-0.0869,0.2584,0
1,90,3.1035,-0.3874,-0.0872,0.2583,0
1,91,3.1075,-0.5252,-0.0870,0.2586,0
1,92,3.1115,-0.6851,-0.0864,0.2594,0
1,93,3.1155,-0.8281,-0.0853,0.2606,0
1,94,3.1195,-0.8580,-0.0838,0.2623,0
1,95,3.1235,-0.7254,-0.0820,0.2643,0
1,96,3.1275,-0.4927,-0.0798,0.2666,0
1,97,3.1315,-0.2769,-0.0775,0.2692,0
1,98,3.1355,-0.1222,-0.0750,0.2718,0
1,99,3.1395,0.0039,-0.0726,0.2743,0
1,100,3.1435,0.1326,-0.0704,0.2767,0
1,101,3.1475,0.2535,-0.0685,0.2788,0
1,102,3.1515,0.3458,-0.0670,0.2804,0
1,103,3.1555,0.4017,-0.0660,0.2816,0
1,104,3.1595,0.4199,-0.0657,0.2821,0
1,105,3.1635,0.4082,-0.0660,0.2819,0
1,106,3.1675,0.3822,-0.0671,0.2810,0
1,107,3.1715,0.3640,-0.0688,0.2794,0
1,108,3.1755,0.3523,-0.0712,0.2772,0
1,109,3.1795,0.3276,-0.0741,0.2744,0
1,110,3.1835,0.2665,-0.0776,0.2712,0
1,111,3.1875,0.1664,-0.0813,0.2676,0
1,112,3.1915,0.0364,-0.0853,0.2638,0
1,113,3.1955,-0.1092,-0.0892,0.2600,0
1,114,3.1995,-0.2600,-0.0931,0.2563,0
1,115,3.2035,-0.4030,-0.0967,0.2528,0
1,116,3.2075,-0.5421,-0.0999,0.2498,0
1,117,3.2115,-0.6929,-0.1026,0.2473,0
1,118,3.2155,-0.8437,-0.1047,0.2454,0
1,119,3.2195,-0.9191,-0.1061,0.2441,0
1,120,3.2235,-0.8476,-0.1068,0.2436,0
1,121,3.2275,-0.6435,-0.1068,0.2437,0
1,122,3.2315,-0.4095,-0.1061,0.2445,0
1,123,3.2355,-0.2249,-0.1049,0.2459,0
1,124,3.2395,-0.0910,-0.1031,0.2479,0
1,125,3.2435,0.0273,-0.1009,0.2502,0
1,126,3.2475,0.1469,-0.0984,0.2530,0
1,127,3.2515,0.2496,-0.0956,0.2559,0
1,128,3.2555,0.3172,-0.0927,0.2590,0
1,129,3.2595,0.3484,-0.0897,0.2621,0
1,130,3.2635,0.3484,-0.0868,0.2652,0
1,131,3.2675,0.3328,-0.0839,0.2683,0
1,132,3.2715,0.3172,-0.0810,0.2713,0
1,133,3.2755,0.3042,-0.0782,0.2742,0
1,134,3.2795,0.2756,-0.0755,0.2771,0
1,135,3.2835,0.2132,-0.0728,0.2800,0
1,136,3.2875,0.1170,-0.0699,0.2830,0
1,137,3.2915,0.0000,-0.0669,0.2862,0
1,138,3.2955,-0.1287,-0.0637,0.2895,0
1,139,3.2995,-0.2639,-0.0603,0.2932,0
1,140,3.3035,-0.3965,-0.0564,0.2972,0
1,141,3.3075,-0.5408,-0.0522,0.3015,0
1,142,3.3115,-0.7124,-0.0476,0.3063,0
1,143,3.3155,-0.8567,-0.0426,0.3115,0
1,144,3.3195,-0.8606,-0.0373,0.3170,0
1,145,3.3235,-0.6799,-0.0317,0.3227,0
1,146,3.3275,-0.4069,-0.0260,0.3286,0
1,147,3.3315,-0.1794,-0.0202,0.3345,0
1,148,3.3355,-0.0286,-0.0146,0.3403,0
1,149,3.3395,0.0962,-0.0093,0.3457,0
1,150,3.3435,0.2366,-0.0045,0.3507,0
1,151,3.3475,0.3705,-0.0004,0.3550,0
1,152,3.3515,0.4706,0.0029,0.3585,0
1,153,3.3555,0.5343,0.0053,0.3610,0
1,154,3.3595,0.5590,0.0067,0.3625,0
1,155,3.3635,0.5512,0.0069,0.3629,0
1,156,3.3675,0.5252,0.0059,0.3621,0
1,157,3.3715,0.4992,0.0037,0.3601,0
1,158,3.3755,0.4732,0.0005,0.3570,0
1,159,3.3795,0.4316,-0.0038,0.3529,0
1,160,3.3835,0.3679,-0.0090,0.3479,0
1,161,3.3875,0.2821,-0.0149,0.3421,0
1,162,3.3915,0.1755,-0.0213,0.3359,0
1,163,3.3955,0.0377,-0.0280,0.3293,0
1,164,3.3995,-0.1209,-0.0348,0.3227,0
1,165,3.4035,-0.2769,-0.0415,0.3161,0
1,166,3.4075,-0.4147,-0.0479,0.3099,0
1,167,3.4115,-0.5603,-0.0537,0.3043,0
1,168,3.4155,-0.7293,-0.0588,0.2993,0
1,169,3.4195,-0.8736,-0.0631,0.2952,0
1,170,3.4235,-0.8970,-0.0664,0.2921,0
1,171,3.4275,-0.7683,-0.0687,0.2899,0
1,172,3.4315,-0.5564,-0.0699,0.2889,0
1,173,3.4355,-0.3575,-0.0700,0.2889,0
1,174,3.4395,-0.2054,-0.0691,0.2900,0
1,175,3.4435,-0.0754,-0.0673,0.2920,0
1,176,3.4475,0.0572,-0.0645,0.2950,0
1,177,3.4515,0.1846,-0.0608,0.2988,0
1,178,3.4555,0.2821,-0.0564,0.3033,0
1,179,3.4595,0.3354,-0.0514,0.3086,0
1,180,3.4635,0.3497,-0.0457,0.3144,0
1,181,3.4675,0.3406,-0.0395,0.3207,0
1,182,3.4715,0.3263,-0.0329,0.3275,0
1,183,3.4755,0.3055,-0.0259,0.3347,0
1,184,3.4795,0.2795,-0.0184,0.3423,0
1,185,3.4835,0.2457,-0.0105,0.3504,0
1,186,3.4875,0.1976,-0.0022,0.3588,0
1,187,3.4915,0.1196,0.0065,0.3677,0
1,188,3.4955,0.0091,0.0156,0.3770,0
1,189,3.4995,-0.1183,0.0252,0.3867,0
1,190,3.5035,-0.2587,0.0352,0.3969,0
1,191,3.5075,-0.4225,0.0455,0.4074,0
1,192,3.5115,-0.6071,0.0563,0.4183,0
1,193,3.5155,-0.7384,0.0673,0.4295,0
1,194,3.5195,-0.7176,0.0785,0.4408,0
1,195,3.5235,-0.5304,0.0897,0.4522,0
1,196,3.5275,-0.2769,0.1007,0.4634,0
1,197,3.5315,-0.0572,0.1115,0.4743,0
1,198,3.5355,0.1118,0.1216,0.4846,0
1,199,3.5395,0.2626,0.1311,0.4942,0
1,200,3.5435,0.4056,0.1395,0.5028,0
1,201,3.5475,0.5304,0.1468,0.5102,0
1,202,3.5515,0.6370,0.1526,0.5162,0
1,203,3.5555,0.7189,0.1568,0.5206,0
1,204,3.5595,0.7553,0.1592,0.5232,0
1,205,3.5635,0.7423,0.1598,0.5240,0
1,206,3.5675,0.7085,0.1585,0.5228,0
1,207,3.5715,0.6851,0.1552,0.5197,0
1,208,3.5755,0.6773,0.1500,0.5146,0
1,209,3.5795,0.6669,0.1430,0.5078,0
1,210,3.5835,0.6266,0.1343,0.4992,0
1,211,3.5875,0.5447,0.1241,0.4892,0
1,212,3.5915,0.4277,0.1126,0.4778,0
1,213,3.5955,0.2990,0.1000,0.4655,0
1,214,3.5995,0.1599,0.0868,0.4524,0
1,215,3.6035,0.0000,0.0731,0.4388,0
1,216,3.6075,-0.1638,0.0592,0.4251,0
1,217,3.6115,-0.3003,0.0454,0.4115,0
1,218,3.6155,-0.4316,0.0320,0.3983,0
1,219,3.6195,-0.6058,0.0193,0.3857,0
1,220,3.6235,-0.7956,0.0074,0.3740,0
1,221,3.6275,-0.8723,-0.0035,0.3633,0
1,222,3.6315,-0.7592,-0.0131,0.3538,0
1,223,3.6355,-0.5330,-0.0214,0.3456,0
1,224,3.6395,-0.3263,-0.0284,0.3389,0
1,225,3.6435,-0.1794,-0.0339,0.3335,0
1,226,3.6475,-0.0520,-0.0379,0.3296,0
1,227,3.6515,0.0793,-0.0405,0.3272,0
1,228,3.6555,0.1911,-0.0417,0.3262,0
1,229,3.6595,0.2574,-0.0414,0.3266,0
1,230,3.6635,0.2808,-0.0398,0.3284,0
1,231,3.6675,0.2756,-0.0369,0.3315,0
1,232,3.6715,0.2496,-0.0326,0.3359,0
1,233,3.6755,0.2223,-0.0271,0.3415,0
1,234,3.6795,0.2106,-0.0204,0.3484,0
1,235,3.6835,0.2028,-0.0125,0.3565,0
1,236,3.6875,0.1651,-0.0035,0.3657,0
1,237,3.6915,0.0793,0.0067,0.3761,0
1,238,3.6955,-0.0351,0.0180,0.3875,0
1,239,3.6995,-0.1599,0.0304,0.4001,0
1,240,3.7035,-0.2964,0.0438,0.4136,0
1,241,3.7075,-0.4628,0.0581,0.4280,0
1,242,3.7115,-0.6292,0.0732,0.4433,0
1,243,3.7155,-0.7189,0.0890,0.4593,0
1,244,3.7195,-0.6630,0.1054,0.4759,0
1,245,3.7235,-0.4732,0.1222,0.4928,0
1,246,3.7275,-0.2275,0.1391,0.5099,0
1,247,3.7315,0.0052,0.1560,0.5269,0
1,248,3.7355,0.2041,0.1726,0.5437,0
1,249,3.7395,0.3666,0.1887,0.5600,0
1,250,3.7435,0.4953,0.2041,0.5755,0
1,251,3.7475,0.6032,0.2185,0.5901,0
1,252,3.7515,0.7072,0.2317,0.6034,0
1,253,3.7555,0.7995,0.2435,0.6154,0
1,254,3.7595,0.8450,0.2538,0.6259,0
1,255,3.7635,0.8333,0.2624,0.6346,0
1,256,3.7675,0.7943,0.2693,0.6417,0
1,257,3.7715,0.7670,0.2744,0.6470,0
1,258,3.7755,0.7592,0.2778,0.6505,0
1,259,3.7795,0.7514,0.2794,0.6523,0
1,260,3.7835,0.7202,0.2795,0.6526,0
1,261,3.7875,0.6500,0.2781,0.6513,0
1,262,3.7915,0.5434,0.2754,0.6488,0
1,263,3.7955,0.4082,0.2716,0.6452,0
1,264,3.7995,0.2548,0.2669,0.6406,0
1,265,3.8035,0.0962,0.2614,0.6353,0
1,266,3.8075,-0.0455,0.2554,0.6294,0
1,267,3.8115,-0.1781,0.2490,0.6232,0
1,268,3.8155,-0.3211,0.2424,0.6168,0
1,269,3.8195,-0.4550,0.2357,0.6102,0
