--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:35:08 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_5>,3.230µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_5>,Gaussian-50%Low[0.25 mm],2.5035 mm,269.55 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7515,1.0361,1.2123,-0.7400,0
1,2,2.7555,1.1453,1.2160,-0.7367,0
1,3,2.7595,1.2584,1.2197,-0.7335,0
1,4,2.7635,1.3754,1.2232,-0.7304,0
1,5,2.7675,1.5275,1.2265,-0.7276,0
1,6,2.7715,1.7459,1.2295,-0.7251,0
1,7,2.7755,1.9825,1.2320,-0.7229,0
1,8,2.7795,2.1073,1.2342,-0.7212,0
1,9,2.7835,2.0358,1.2360,-0.7199,0
1,10,2.7875,1.8278,1.2374,-0.7189,0
1,11,2.7915,1.6081,1.2385,-0.7183,0
1,12,2.7955,1.4404,1.2394,-0.7178,0
1,13,2.7995,1.2974,1.2402,-0.7175,0
1,14,2.8035,1.1557,1.2411,-0.7170,0
1,15,2.8075,1.0257,1.2422,-0.7163,0
1,16,2.8115,0.9217,1.2438,-0.7153,0
1,17,2.8155,0.8398,1.2458,-0.7137,0
1,18,2.8195,0.7735,1.2485,-0.7115,0
1,19,2.8235,0.7345,1.2520,-0.7084,0
1,20,2.8275,0.7306,1.2563,-0.7046,0
1,21,2.8315,0.7527,1.2615,-0.6998,0
1,22,2.8355,0.7826,1.2677,-0.6940,0
1,23,2.8395,0.8255,1.2748,-0.6874,0
1,24,2.8435,0.8931,1.2827,-0.6799,0
1,25,2.8475,0.9776,1.2915,-0.6717,0
1,26,2.8515,1.0582,1.3008,-0.6627,0
1,27,2.8555,1.1388,1.3107,-0.6533,0
1,28,2.8595,1.2493,1.3210,-0.6435,0
1,29,2.8635,1.3910,1.3315,-0.6334,0
1,30,2.8675,1.5418,1.3421,-0.6233,0
1,31,2.8715,1.7108,1.3526,-0.6132,0
1,32,2.8755,1.9331,1.3630,-0.6033,0
1,33,2.8795,2.1593,1.3731,-0.5936,0
1,34,2.8835,2.2542,1.3829,-0.5843,0
1,35,2.8875,2.1398,1.3923,-0.5753,0
1,36,2.8915,1.9084,1.4014,-0.5667,0
1,37,2.8955,1.7004,1.4101,-0.5585,0
1,38,2.8995,1.5561,1.4185,-0.5505,0
1,39,2.9035,1.4287,1.4267,-0.5428,0
1,40,2.9075,1.2922,1.4347,-0.5352,0
1,41,2.9115,1.1739,1.4427,-0.5276,0
1,42,2.9155,1.0894,1.4508,-0.5200,0
1,43,2.9195,1.0348,1.4590,-0.5123,0
1,44,2.9235,1.0049,1.4674,-0.5043,0
1,45,2.9275,1.0010,1.4761,-0.4961,0
1,46,2.9315,1.0179,1.4850,-0.4876,0
1,47,2.9355,1.0504,1.4942,-0.4788,0
1,48,2.9395,1.1037,1.5037,-0.4698,0
1,49,2.9435,1.1778,1.5134,-0.4606,0
1,50,2.9475,1.2610,1.5231,-0.4513,0
1,51,2.9515,1.3403,1.5329,-0.4420,0
1,52,2.9555,1.4287,1.5425,-0.4328,0
1,53,2.9595,1.5444,1.5519,-0.4239,0
1,54,2.9635,1.6848,1.5609,-0.4153,0
1,55,2.9675,1.8304,1.5694,-0.4073,0
1,56,2.9715,1.9955,1.5773,-0.3998,0
1,57,2.9755,2.2074,1.5845,-0.3931,0
1,58,2.9795,2.4128,1.5910,-0.3871,0
1,59,2.9835,2.4882,1.5967,-0.3819,0
1,60,2.9875,2.3699,1.6015,-0.3774,0
1,61,2.9915,2.1359,1.6057,-0.3737,0
1,62,2.9955,1.9097,1.6091,-0.3707,0
1,63,2.9995,1.7394,1.6120,-0.3684,0
1,64,3.0035,1.5951,1.6143,-0.3665,0
1,65,3.0075,1.4586,1.6162,-0.3650,0
1,66,3.0115,1.3442,1.6178,-0.3639,0
1,67,3.0155,1.2597,1.6193,-0.3629,0
1,68,3.0195,1.1947,1.6207,-0.3619,0
1,69,3.0235,1.1518,1.6221,-0.3610,0
