--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:34:51 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_4>,1.669µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_4>,Gaussian-50%Low[0.25 mm],2.5055 mm,89.62 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7535,0.5616,0.2205,0.3113,0
1,2,2.7575,0.5954,0.2174,0.3084,0
1,3,2.7615,0.6305,0.2138,0.3049,0
1,4,2.7655,0.6591,0.2094,0.3008,0
1,5,2.7695,0.6552,0.2045,0.2960,0
1,6,2.7735,0.6006,0.1990,0.2907,0
1,7,2.7775,0.5070,0.1929,0.2848,0
1,8,2.7815,0.4121,0.1864,0.2785,0
1,9,2.7855,0.3341,0.1795,0.2719,0
1,10,2.7895,0.2444,0.1725,0.2650,0
1,11,2.7935,0.1209,0.1654,0.2581,0
1,12,2.7975,-0.0130,0.1583,0.2513,0
1,13,2.8015,-0.1235,0.1514,0.2446,0
1,14,2.8055,-0.2327,0.1448,0.2382,0
1,15,2.8095,-0.3822,0.1386,0.2322,0
1,16,2.8135,-0.5408,0.1329,0.2267,0
1,17,2.8175,-0.5967,0.1277,0.2217,0
1,18,2.8215,-0.4875,0.1231,0.2172,0
1,19,2.8255,-0.2743,0.1190,0.2133,0
1,20,2.8295,-0.0689,0.1154,0.2099,0
1,21,2.8335,0.0819,0.1123,0.2070,0
1,22,2.8375,0.2002,0.1096,0.2045,0
1,23,2.8415,0.2951,0.1072,0.2024,0
1,24,2.8455,0.3497,0.1052,0.2005,0
1,25,2.8495,0.3653,0.1033,0.1989,0
1,26,2.8535,0.3731,0.1016,0.1974,0
1,27,2.8575,0.4004,0.1000,0.1959,0
1,28,2.8615,0.4498,0.0984,0.1946,0
1,29,2.8655,0.4992,0.0968,0.1932,0
1,30,2.8695,0.5109,0.0953,0.1919,0
1,31,2.8735,0.4576,0.0939,0.1907,0
1,32,2.8775,0.3549,0.0926,0.1896,0
1,33,2.8815,0.2548,0.0915,0.1886,0
1,34,2.8855,0.1846,0.0905,0.1879,0
1,35,2.8895,0.1079,0.0899,0.1875,0
1,36,2.8935,-0.0130,0.0897,0.1875,0
1,37,2.8975,-0.1521,0.0900,0.1880,0
1,38,2.9015,-0.2691,0.0907,0.1889,0
1,39,2.9055,-0.3861,0.0920,0.1904,0
1,40,2.9095,-0.5265,0.0938,0.1924,0
1,41,2.9135,-0.6292,0.0962,0.1950,0
1,42,2.9175,-0.5993,0.0991,0.1981,0
1,43,2.9215,-0.4342,0.1023,0.2015,0
1,44,2.9255,-0.2197,0.1059,0.2053,0
1,45,2.9295,-0.0234,0.1097,0.2093,0
1,46,2.9335,0.1495,0.1135,0.2133,0
1,47,2.9375,0.3055,0.1173,0.2173,0
1,48,2.9415,0.4160,0.1208,0.2210,0
1,49,2.9455,0.4706,0.1240,0.2244,0
1,50,2.9495,0.4849,0.1266,0.2272,0
1,51,2.9535,0.4927,0.1285,0.2293,0
1,52,2.9575,0.5226,0.1297,0.2307,0
1,53,2.9615,0.5785,0.1301,0.2313,0
1,54,2.9655,0.6305,0.1296,0.2310,0
1,55,2.9695,0.6292,0.1282,0.2298,0
1,56,2.9735,0.5577,0.1259,0.2278,0
1,57,2.9775,0.4537,0.1229,0.2249,0
1,58,2.9815,0.3653,0.1191,0.2213,0
1,59,2.9855,0.2977,0.1147,0.2171,0
1,60,2.9895,0.2080,0.1098,0.2124,0
1,61,2.9935,0.0767,0.1045,0.2073,0
1,62,2.9975,-0.0585,0.0989,0.2020,0
1,63,3.0015,-0.1716,0.0932,0.1965,0
1,64,3.0055,-0.2951,0.0875,0.1909,0
1,65,3.0095,-0.4628,0.0818,0.1855,0
1,66,3.0135,-0.6084,0.0763,0.1802,0
1,67,3.0175,-0.6201,0.0710,0.1751,0
1,68,3.0215,-0.4797,0.0659,0.1702,0
1,69,3.0255,-0.2782,0.0610,0.1655,0
1,70,3.0295,-0.1001,0.0564,0.1610,0
1,71,3.0335,0.0429,0.0518,0.1567,0
1,72,3.0375,0.1638,0.0474,0.1524,0
1,73,3.0415,0.2483,0.0429,0.1482,0
1,74,3.0455,0.2899,0.0384,0.1439,0
1,75,3.0495,0.3133,0.0339,0.1395,0
1,76,3.0535,0.3380,0.0291,0.1350,0
1,77,3.0575,0.3640,0.0242,0.1303,0
1,78,3.0615,0.3926,0.0190,0.1253,0
1,79,3.0655,0.4251,0.0137,0.1202,0
1,80,3.0695,0.4381,0.0082,0.1148,0
1,81,3.0735,0.3900,0.0025,0.1094,0
1,82,3.0775,0.2886,-0.0031,0.1040,0
1,83,3.0815,0.1846,-0.0087,0.0986,0
1,84,3.0855,0.1105,-0.0141,0.0934,0
1,85,3.0895,0.0286,-0.0191,0.0886,0
1,86,3.0935,-0.0975,-0.0236,0.0843,0
1,87,3.0975,-0.2457,-0.0276,0.0805,0
1,88,3.1015,-0.3640,-0.0308,0.0775,0
1,89,3.1055,-0.4654,-0.0331,0.0754,0
1,90,3.1095,-0.6071,-0.0345,0.0742,0
1,91,3.1135,-0.7657,-0.0349,0.0740,0
1,92,3.1175,-0.8242,-0.0343,0.0748,0
1,93,3.1215,-0.7124,-0.0326,0.0767,0
1,94,3.1255,-0.4901,-0.0298,0.0797,0
1,95,3.1295,-0.2717,-0.0260,0.0837,0
1,96,3.1335,-0.1027,-0.0213,0.0886,0
1,97,3.1375,0.0390,-0.0157,0.0944,0
