--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:35:32 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_6>,1.064µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_6>,Gaussian-50%Low[0.25 mm],2.5035 mm,179.82 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7515,-0.5330,-0.8695,0.2626,0
1,2,2.7555,-0.6331,-0.8720,0.2602,0
1,3,2.7595,-0.7137,-0.8752,0.2571,0
1,4,2.7635,-0.7930,-0.8791,0.2533,0
1,5,2.7675,-0.9035,-0.8835,0.2491,0
1,6,2.7715,-1.0335,-0.8883,0.2444,0
1,7,2.7755,-1.1518,-0.8934,0.2395,0
1,8,2.7795,-1.2610,-0.8987,0.2343,0
1,9,2.7835,-1.3884,-0.9041,0.2290,0
1,10,2.7875,-1.5015,-0.9096,0.2237,0
1,11,2.7915,-1.5080,-0.9151,0.2183,0
1,12,2.7955,-1.3715,-0.9205,0.2130,0
1,13,2.7995,-1.1765,-0.9259,0.2077,0
1,14,2.8035,-1.0205,-0.9313,0.2025,0
1,15,2.8075,-0.9152,-0.9366,0.1974,0
1,16,2.8115,-0.8216,-0.9419,0.1922,0
1,17,2.8155,-0.7423,-0.9472,0.1870,0
1,18,2.8195,-0.7072,-0.9525,0.1818,0
1,19,2.8235,-0.7072,-0.9579,0.1765,0
1,20,2.8275,-0.6968,-0.9634,0.1712,0
1,21,2.8315,-0.6539,-0.9690,0.1658,0
1,22,2.8355,-0.6045,-0.9746,0.1603,0
1,23,2.8395,-0.5863,-0.9801,0.1549,0
1,24,2.8435,-0.6162,-0.9857,0.1495,0
1,25,2.8475,-0.6903,-0.9910,0.1443,0
1,26,2.8515,-0.7826,-0.9962,0.1392,0
1,27,2.8555,-0.8671,-1.0010,0.1346,0
1,28,2.8595,-0.9451,-1.0053,0.1304,0
1,29,2.8635,-1.0478,-1.0091,0.1268,0
1,30,2.8675,-1.1830,-1.0121,0.1238,0
1,31,2.8715,-1.3104,-1.0144,0.1217,0
1,32,2.8755,-1.4105,-1.0159,0.1204,0
1,33,2.8795,-1.5236,-1.0164,0.1200,0
1,34,2.8835,-1.6718,-1.0160,0.1205,0
1,35,2.8875,-1.7797,-1.0147,0.1220,0
1,36,2.8915,-1.7420,-1.0125,0.1243,0
1,37,2.8955,-1.5561,-1.0094,0.1275,0
1,38,2.8995,-1.3273,-1.0057,0.1313,0
1,39,2.9035,-1.1388,-1.0014,0.1358,0
1,40,2.9075,-0.9854,-0.9966,0.1407,0
1,41,2.9115,-0.8450,-0.9916,0.1459,0
1,42,2.9155,-0.7280,-0.9864,0.1511,0
1,43,2.9195,-0.6552,-0.9814,0.1564,0
1,44,2.9235,-0.6227,-0.9765,0.1613,0
1,45,2.9275,-0.6084,-0.9721,0.1659,0
1,46,2.9315,-0.5928,-0.9681,0.1700,0
1,47,2.9355,-0.5681,-0.9648,0.1735,0
1,48,2.9395,-0.5356,-0.9622,0.1762,0
1,49,2.9435,-0.5135,-0.9603,0.1782,0
1,50,2.9475,-0.5317,-0.9592,0.1795,0
1,51,2.9515,-0.6006,-0.9588,0.1800,0
1,52,2.9555,-0.6968,-0.9591,0.1798,0
1,53,2.9595,-0.7891,-0.9601,0.1790,0
1,54,2.9635,-0.8762,-0.9617,0.1775,0
1,55,2.9675,-0.9867,-0.9638,0.1756,0
1,56,2.9715,-1.1193,-0.9663,0.1732,0
1,57,2.9755,-1.2415,-0.9691,0.1705,0
1,58,2.9795,-1.3416,-0.9723,0.1675,0
1,59,2.9835,-1.4547,-0.9757,0.1642,0
1,60,2.9875,-1.5756,-0.9793,0.1608,0
1,61,2.9915,-1.6172,-0.9831,0.1571,0
1,62,2.9955,-1.5067,-0.9871,0.1532,0
1,63,2.9995,-1.2896,-0.9914,0.1491,0
1,64,3.0035,-1.0842,-0.9960,0.1446,0
1,65,3.0075,-0.9425,-1.0010,0.1397,0
1,66,3.0115,-0.8411,-1.0065,0.1343,0
1,67,3.0155,-0.7579,-1.0126,0.1283,0
1,68,3.0195,-0.7137,-1.0195,0.1217,0
1,69,3.0235,-0.7098,-1.0270,0.1142,0
1,70,3.0275,-0.7059,-1.0355,0.1059,0
1,71,3.0315,-0.6630,-1.0448,0.0967,0
1,72,3.0355,-0.5993,-1.0550,0.0866,0
1,73,3.0395,-0.5720,-1.0662,0.0756,0
1,74,3.0435,-0.6110,-1.0783,0.0636,0
1,75,3.0475,-0.6981,-1.0912,0.0509,0
1,76,3.0515,-0.7943,-1.1048,0.0374,0
1,77,3.0555,-0.8762,-1.1191,0.0232,0
1,78,3.0595,-0.9490,-1.1338,0.0087,0
1,79,3.0635,-1.0426,-1.1488,-0.0063,0
1,80,3.0675,-1.1765,-1.1640,-0.0213,0
