--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:36:23 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_9>,1.998µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_9>,Gaussian-50%Low[0.25 mm],2.5015 mm,89.57 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7495,0.6747,0.6807,-1.0078,0
1,2,2.7535,0.5109,0.6654,-1.0236,0
1,3,2.7575,0.3705,0.6502,-1.0392,0
1,4,2.7615,0.2548,0.6355,-1.0543,0
1,5,2.7655,0.1560,0.6215,-1.0687,0
1,6,2.7695,0.0728,0.6085,-1.0821,0
1,7,2.7735,0.0143,0.5966,-1.0945,0
1,8,2.7775,-0.0130,0.5859,-1.1055,0
1,9,2.7815,-0.0130,0.5767,-1.1151,0
1,10,2.7855,0.0117,0.5690,-1.1232,0
1,11,2.7895,0.0611,0.5629,-1.1298,0
1,12,2.7935,0.1274,0.5582,-1.1348,0
1,13,2.7975,0.2041,0.5551,-1.1384,0
1,14,2.8015,0.2912,0.5533,-1.1406,0
1,15,2.8055,0.3939,0.5529,-1.1414,0
1,16,2.8095,0.5083,0.5536,-1.1411,0
1,17,2.8135,0.6201,0.5554,-1.1397,0
1,18,2.8175,0.7436,0.5582,-1.1374,0
1,19,2.8215,0.9204,0.5617,-1.1343,0
1,20,2.8255,1.1375,0.5659,-1.1305,0
1,21,2.8295,1.2805,0.5706,-1.1261,0
1,22,2.8335,1.2480,0.5759,-1.1213,0
1,23,2.8375,1.0738,0.5816,-1.1160,0
1,24,2.8415,0.8840,0.5877,-1.1103,0
1,25,2.8455,0.7488,0.5942,-1.1042,0
