--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:36:07 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_8>,1.876µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_8>,Gaussian-50%Low[0.25 mm],2.5025 mm,269.60 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7505,-1.0985,-0.8733,0.2931,0
1,2,2.7545,-1.1973,-0.8756,0.2909,0
1,3,2.7585,-1.3208,-0.8780,0.2885,0
1,4,2.7625,-1.4586,-0.8805,0.2862,0
1,5,2.7665,-1.5288,-0.8829,0.2839,0
1,6,2.7705,-1.4586,-0.8851,0.2817,0
1,7,2.7745,-1.2753,-0.8873,0.2796,0
1,8,2.7785,-1.0790,-0.8892,0.2778,0
1,9,2.7825,-0.9334,-0.8910,0.2761,0
1,10,2.7865,-0.8255,-0.8926,0.2746,0
1,11,2.7905,-0.7358,-0.8940,0.2732,0
1,12,2.7945,-0.6682,-0.8954,0.2719,0
1,13,2.7985,-0.6318,-0.8966,0.2708,0
1,14,2.8025,-0.6097,-0.8979,0.2696,0
1,15,2.8065,-0.5824,-0.8991,0.2685,0
1,16,2.8105,-0.5486,-0.9003,0.2674,0
1,17,2.8145,-0.5187,-0.9015,0.2663,0
1,18,2.8185,-0.5174,-0.9026,0.2652,0
1,19,2.8225,-0.5642,-0.9037,0.2642,0
1,20,2.8265,-0.6539,-0.9046,0.2634,0
1,21,2.8305,-0.7501,-0.9053,0.2628,0
1,22,2.8345,-0.8398,-0.9058,0.2624,0
1,23,2.8385,-0.9360,-0.9059,0.2624,0
1,24,2.8425,-1.0543,-0.9056,0.2627,0
1,25,2.8465,-1.1726,-0.9049,0.2635,0
1,26,2.8505,-1.2792,-0.9037,0.2648,0
