--------------------------------------------------------------
Output text data of Measurement
,12/05/2021 5:11:43 p.m.
Title,
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,
Revised By,c.young
Revision No.,0
Start time of part program,12/05/2021 4:55:30 p.m.
End time of part program,12/05/2021 5:10:12 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_2>,1.828µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_2>,Gaussian-50%Low[0.25 mm],2.5025 mm,180.02 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7505,1.3858,0.7688,-0.5208,0
1,2,2.7545,1.1596,0.7722,-0.5179,0
1,3,2.7585,0.9841,0.7757,-0.5149,0
1,4,2.7625,0.8333,0.7792,-0.5119,0
1,5,2.7665,0.6747,0.7829,-0.5087,0
1,6,2.7705,0.5330,0.7870,-0.5052,0
1,7,2.7745,0.4368,0.7915,-0.5013,0
1,8,2.7785,0.3731,0.7965,-0.4968,0
1,9,2.7825,0.3107,0.8021,-0.4917,0
1,10,2.7865,0.2613,0.8084,-0.4859,0
1,11,2.7905,0.2587,0.8154,-0.4795,0
1,12,2.7945,0.2860,0.8232,-0.4722,0
1,13,2.7985,0.3055,0.8316,-0.4644,0
1,14,2.8025,0.3276,0.8406,-0.4559,0
1,15,2.8065,0.3952,0.8501,-0.4469,0
1,16,2.8105,0.5109,0.8599,-0.4377,0
1,17,2.8145,0.6318,0.8698,-0.4283,0
1,18,2.8185,0.7462,0.8797,-0.4190,0
1,19,2.8225,0.8840,0.8892,-0.4099,0
1,20,2.8265,1.0608,0.8983,-0.4014,0
1,21,2.8305,1.2675,0.9067,-0.3935,0
1,22,2.8345,1.5067,0.9142,-0.3866,0
1,23,2.8385,1.7654,0.9206,-0.3807,0
1,24,2.8425,1.9461,0.9258,-0.3760,0
1,25,2.8465,1.9357,0.9297,-0.3727,0
1,26,2.8505,1.7316,0.9322,-0.3707,0
1,27,2.8545,1.4716,0.9332,-0.3702,0
1,28,2.8585,1.2701,0.9329,-0.3711,0
1,29,2.8625,1.1271,0.9312,-0.3733,0
1,30,2.8665,0.9789,0.9281,-0.3769,0
1,31,2.8705,0.8151,0.9238,-0.3817,0
1,32,2.8745,0.6799,0.9184,-0.3877,0
1,33,2.8785,0.5941,0.9119,-0.3947,0
1,34,2.8825,0.5330,0.9045,-0.4027,0
1,35,2.8865,0.4810,0.8962,-0.4115,0
1,36,2.8905,0.4563,0.8872,-0.4211,0
1,37,2.8945,0.4641,0.8774,-0.4313,0
1,38,2.8985,0.4797,0.8670,-0.4423,0
1,39,2.9025,0.4875,0.8560,-0.4539,0
1,40,2.9065,0.5174,0.8443,-0.4661,0
1,41,2.9105,0.6058,0.8319,-0.4790,0
1,42,2.9145,0.7397,0.8189,-0.4926,0
1,43,2.9185,0.8593,0.8052,-0.5068,0
1,44,2.9225,0.9347,0.7908,-0.5218,0
1,45,2.9265,1.0270,0.7756,-0.5374,0
1,46,2.9305,1.2168,0.7598,-0.5538,0
1,47,2.9345,1.4651,0.7433,-0.5708,0
1,48,2.9385,1.6211,0.7262,-0.5884,0
1,49,2.9425,1.5782,0.7087,-0.6065,0
1,50,2.9465,1.3871,0.6908,-0.6249,0
1,51,2.9505,1.1635,0.6727,-0.6436,0
1,52,2.9545,0.9555,0.6546,-0.6622,0
1,53,2.9585,0.7501,0.6368,-0.6805,0
1,54,2.9625,0.5564,0.6195,-0.6983,0
1,55,2.9665,0.3952,0.6030,-0.7154,0
1,56,2.9705,0.2613,0.5875,-0.7314,0
1,57,2.9745,0.1404,0.5733,-0.7462,0
1,58,2.9785,0.0429,0.5606,-0.7594,0
1,59,2.9825,-0.0299,0.5497,-0.7709,0
1,60,2.9865,-0.0923,0.5406,-0.7804,0
1,61,2.9905,-0.1339,0.5337,-0.7879,0
1,62,2.9945,-0.1326,0.5288,-0.7933,0
1,63,2.9985,-0.0988,0.5261,-0.7965,0
1,64,3.0025,-0.0624,0.5256,-0.7976,0
1,65,3.0065,-0.0234,0.5271,-0.7967,0
1,66,3.0105,0.0481,0.5305,-0.7937,0
1,67,3.0145,0.1547,0.5358,-0.7890,0
1,68,3.0185,0.2639,0.5427,-0.7827,0
1,69,3.0225,0.3757,0.5509,-0.7749,0
