--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,13/05/2021 2:08:46 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,13/05/2021 2:01:41 p.m.
Revised By,c.young
Revision No.,1
Start time of part program,13/05/2021 2:01:44 p.m.
End time of part program,13/05/2021 2:08:05 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_2>,4.101µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_2>,Gaussian-50%Low[0.25 mm],2.5055 mm,179.77 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,1,2.7535,-1.3702,-1.3158,-2.5322,0
1,2,2.7575,-1.1128,-1.1913,-2.4082,0
1,3,2.7615,-0.8398,-1.0664,-2.2839,0
1,4,2.7655,-0.5226,-0.9420,-2.1599,0
1,5,2.7695,-0.1807,-0.8186,-2.0372,0
1,6,2.7735,0.0910,-0.6972,-1.9163,0
1,7,2.7775,0.2080,-0.5783,-1.7979,0
1,8,2.7815,0.1950,-0.4626,-1.6827,0
1,9,2.7855,0.1573,-0.3506,-1.5713,0
1,10,2.7895,0.1664,-0.2430,-1.4642,0
1,11,2.7935,0.2054,-0.1400,-1.3618,0
1,12,2.7975,0.2470,-0.0422,-1.2645,0
1,13,2.8015,0.3003,0.0501,-1.1727,0
1,14,2.8055,0.3796,0.1367,-1.0867,0
1,15,2.8095,0.4758,0.2173,-1.0066,0
1,16,2.8135,0.5759,0.2918,-0.9327,0
1,17,2.8175,0.6877,0.3600,-0.8649,0
1,18,2.8215,0.8203,0.4221,-0.8034,0
1,19,2.8255,0.9724,0.4780,-0.7481,0
1,20,2.8295,1.1674,0.5278,-0.6988,0
1,21,2.8335,1.4183,0.5717,-0.6554,0
1,22,2.8375,1.6653,0.6099,-0.6177,0
1,23,2.8415,1.7823,0.6428,-0.5854,0
1,24,2.8455,1.7017,0.6705,-0.5582,0
1,25,2.8495,1.4872,0.6935,-0.5358,0
1,26,2.8535,1.2545,0.7122,-0.5176,0
1,27,2.8575,1.0634,0.7269,-0.5035,0
1,28,2.8615,0.9100,0.7380,-0.4929,0
1,29,2.8655,0.7748,0.7461,-0.4854,0
1,30,2.8695,0.6396,0.7514,-0.4806,0
1,31,2.8735,0.5018,0.7543,-0.4782,0
1,32,2.8775,0.3835,0.7552,-0.4779,0
1,33,2.8815,0.3172,0.7544,-0.4792,0
1,34,2.8855,0.2990,0.7522,-0.4819,0
1,35,2.8895,0.2964,0.7488,-0.4858,0
1,36,2.8935,0.3042,0.7445,-0.4907,0
1,37,2.8975,0.3341,0.7392,-0.4965,0
1,38,2.9015,0.3861,0.7332,-0.5031,0
1,39,2.9055,0.4459,0.7265,-0.5103,0
1,40,2.9095,0.5187,0.7191,-0.5183,0
1,41,2.9135,0.6214,0.7109,-0.5270,0
1,42,2.9175,0.7397,0.7021,-0.5363,0
1,43,2.9215,0.8372,0.6925,-0.5464,0
1,44,2.9255,0.9334,0.6822,-0.5573,0
1,45,2.9295,1.0985,0.6711,-0.5689,0
1,46,2.9335,1.3377,0.6593,-0.5813,0
1,47,2.9375,1.5262,0.6468,-0.5944,0
1,48,2.9415,1.5327,0.6336,-0.6081,0
1,49,2.9455,1.3637,0.6199,-0.6223,0
1,50,2.9495,1.1375,0.6059,-0.6369,0
1,51,2.9535,0.9334,0.5916,-0.6517,0
1,52,2.9575,0.7410,0.5773,-0.6665,0
1,53,2.9615,0.5486,0.5633,-0.6810,0
1,54,2.9655,0.3887,0.5498,-0.6951,0
1,55,2.9695,0.2665,0.5371,-0.7084,0
1,56,2.9735,0.1469,0.5253,-0.7207,0
1,57,2.9775,0.0130,0.5148,-0.7318,0
1,58,2.9815,-0.0936,0.5057,-0.7414,0
1,59,2.9855,-0.1456,0.4982,-0.7494,0
1,60,2.9895,-0.1521,0.4925,-0.7557,0
1,61,2.9935,-0.1365,0.4886,-0.7600,0
1,62,2.9975,-0.1079,0.4867,-0.7625,0
1,63,3.0015,-0.0650,0.4866,-0.7631,0
1,64,3.0055,-0.0117,0.4884,-0.7619,0
1,65,3.0095,0.0546,0.4920,-0.7588,0
1,66,3.0135,0.1404,0.4972,-0.7542,0
1,67,3.0175,0.2366,0.5038,-0.7481,0
1,68,3.0215,0.3458,0.5117,-0.7407,0
1,69,3.0255,0.4784,0.5207,-0.7323,0
1,70,3.0295,0.6383,0.5306,-0.7229,0
1,71,3.0335,0.8268,0.5411,-0.7130,0
1,72,3.0375,1.0491,0.5521,-0.7025,0
1,73,3.0415,1.2831,0.5634,-0.6917,0
1,74,3.0455,1.4365,0.5749,-0.6807,0
1,75,3.0495,1.4118,0.5865,-0.6697,0
1,76,3.0535,1.2194,0.5981,-0.6586,0
1,77,3.0575,0.9854,0.6097,-0.6475,0
1,78,3.0615,0.8086,0.6213,-0.6365,0
